INSTITUTE NAME,PLACE,lat,lng,source
"RISHI MS INST OF ENGG AND
TECH FOR WOMEN",KUKATPALLY,17.5005205,78.390804,google
"SAI SPURTI INSTITUTE OF
TECHNOLOGY",SATHUPALLY,17.1970619,80.8998026,google
"SWARNA BHARATHI INSTITUTE
OF SCI AND TECHNOLOGY",KHAMMAM,18.1124372,79.01929969999999,google
"SURABHI DAYAKAR RAO COLLEGE
OF PHARMACY",GAJWEL,17.8477035,78.7218968,google
"SREE DATTHA INSTITUTE OF
ENGINEERING AND SCIENCE",IBRAHIMPATAN,17.2089755,78.6229613,google
"SRIDEVI WOMENS ENGINEERING
COLLEGE",GANDIPET,17.4244988,78.2951293,google
SREE DATTHA GRP OF INSTNS,IBRAHIMPATAN,17.2098131,78.6234711,google
"SIDDHARTHA INSTT OF ENGG
AND TECHNOLOGY",IBRAHIMPATAN,17.2093467,78.66597209999999,google
"SIDDHARTHA INSTT OF
TECHNOLOGY AND SCIENCES",GHATKESAR,18.1124372,79.01929969999999,google
STMARYS COLLEGE OF PHARMACY,SECUNDERABAD,17.4396998,78.5025381,google
"SAMSKRUTHI COLLEGE OF ENGG
AND TECHNOLOGY",GHATKESAR,18.1124372,79.01929969999999,google
"SRINIDHI INSTITUTE OF SCI AND
TECHNOLOGY",GHATKESAR,18.1124372,79.01929969999999,google
"SCIENT INSTITUTE OF
TECHNOLOGY",IBRAHIMPATAN,17.1743713,78.6598295,google
"S N VANITHA PHARMACY MAHA
VIDYALAYA",TARNAKA,17.4301686,78.53225499999999,google
"ST PETERS ENGINEERING
COLLEGE (AUTONOMOUS)",MEDCHAL,17.5659436,78.4512098,google
"SPHOORTHY ENGINEERING
COLLEGE",NADERGUL,17.282012,78.553765,google
STPAULS COLLEGE OF PHARMACY,TURKAYAMJAL,17.266655,78.5759607,google
"S R R COLLEGE OF
PHARMACEUTICAL SCIS",ELKATHURTY,18.1349707,79.4364433,google
SREE COLLEGE OF PHARMACY,KOTHAGUDEM,17.4755579,80.56698279999999,google
"SR UNIVERSITY ( FORMERLY S R
ENGINEERING COLLEGE)",HASANPARTHY,18.0897978,79.468091,google
"SUMATHI REDDY INST OF
TECHNOLOGY FOR WOMEN",HASANPARTHY,18.1124372,79.01929969999999,google
"SREYAS INST OF ENGG AND
TECHNOLOGY",NAGOLE,17.3544322,78.5935421,google
S S J COLLEGE OF PHARMACY,GANDIPET,17.4231372,78.29399509999999,google
"STANLEY COLLEGE OF ENGG AND
TECHNOLOGY FOR WOMEN
(AUTONOMOUS)",ABIDS,17.3964905,78.4730364,google
