INST CODE,INSTITUTE NAME,PLACE,DIST,COED,COLLEGE TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
MGIT,"MAHATMA GANDHI INSTITUTE OF
TECHNOLOGY",GANDIPET,RR,COED,PVT,1997,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",14537.0,14703,28042.0,53497,25622.0,25622,66650.0,77346,21113.0,27733,31276.0,54015,50095.0,58031,38544.0,42759,18889.0,20435,108000,JNTUH
MGIT,"MAHATMA GANDHI INSTITUTE OF
TECHNOLOGY",GANDIPET,RR,COED,PVT,1997,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",28021.0,28021,110749.0,110766,83730.0,103019,28021.0,28021,52170.0,61594,62800.0,62800,61021.0,75978,46643.0,118524,34465.0,73539,108000,JNTUH
MGIT,"MAHATMA GANDHI INSTITUTE OF
TECHNOLOGY",GANDIPET,RR,COED,PVT,1997,INF,INFORMATION TECHNOLOGY,9491.0,10500,25332.0,25332,15718.0,17266,9491.0,65082,15003.0,16879,19127.0,32011,33352.0,40203,30992.0,41508,10623.0,10623,108000,JNTUH
MGIT,"MAHATMA GANDHI INSTITUTE OF
TECHNOLOGY",GANDIPET,RR,COED,PVT,1997,MCT,"MECHANICAL (MECHTRONICS)
ENGINEERING",35480.0,57925,66936.0,66936,109250.0,109250,35480.0,57925,115139.0,115139,75943.0,75943,118321.0,118321,119407.0,119407,70092.0,70092,108000,JNTUH
MGIT,"MAHATMA GANDHI INSTITUTE OF
TECHNOLOGY",GANDIPET,RR,COED,PVT,1997,MEC,MECHANICAL ENGINEERING,62466.0,62466,112605.0,112605,90595.0,109360,62466.0,62466,63960.0,114226,62466.0,62466,71752.0,115986,62466.0,62466,62466.0,62466,108000,JNTUH
MGIT,"MAHATMA GANDHI INSTITUTE OF
TECHNOLOGY",GANDIPET,RR,COED,PVT,1997,MMT,"METALLURGY AND MATERIAL
ENGINEERING",28202.0,28202,105819.0,105819,28202.0,81100,28202.0,28202,93206.0,93206,28202.0,28202,120398.0,120398,120287.0,120287,28202.0,28202,108000,JNTUH
"MGUNS
F","MGU COLLEGE OF ENGINEERING
AND TECHNOLOGY",NALGONDA,NLG,COED,SF,2013,CSE,"COMPUTER SCIENCE AND
ENGINEERING",30395.0,31085,59839.0,59839,48936.0,48936,30395.0,31085,52404.0,64597,64899.0,78187,90638.0,90638,71769.0,92759,85527.0,85527,45000,MGUN
"MGUNS
F","MGU COLLEGE OF ENGINEERING
AND TECHNOLOGY",NALGONDA,NLG,COED,SF,2013,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",59311.0,59311,102166.0,114823,85971.0,89003,88905.0,88905,87975.0,90634,114414.0,114414,115758.0,115758,94663.0,94663,88113.0,88113,45000,MGUN
"MGUNS
F","MGU COLLEGE OF ENGINEERING
AND TECHNOLOGY",NALGONDA,NLG,COED,SF,2013,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",120654.0,120654,120654.0,120654,120654.0,120654,120654.0,120654,120654.0,120654,120654.0,120654,120654.0,120654,120654.0,120654,120654.0,120654,45000,MGUN
MHVR,"MAHAVEER INSTITUTE OF SCI
AND TECHNOLOGY",BANDLAGUDA,HYD,COED,PVT,2001,ANE,AERONAUTICAL ENGINEERING,33309.0,33309,121009.0,121009,33309.0,113339,33309.0,33309,85831.0,89495,57818.0,57818,119895.0,119895,100881.0,115308,33309.0,33309,66000,JNTUH
MHVR,"MAHAVEER INSTITUTE OF SCI
AND TECHNOLOGY",BANDLAGUDA,HYD,COED,PVT,2001,CIV,CIVIL ENGINEERING,58897.0,73058,112775.0,112775,111244.0,111244,58897.0,73058,58897.0,73058,113612.0,113612,119138.0,119138,108174.0,108174,58897.0,73058,66000,JNTUH
MHVR,"MAHAVEER INSTITUTE OF SCI
AND TECHNOLOGY",BANDLAGUDA,HYD,COED,PVT,2001,CSE,"COMPUTER SCIENCE AND
ENGINEERING",36576.0,36576,109428.0,110778,61041.0,85328,36576.0,36576,57141.0,66544,74480.0,74480,87318.0,112424,70587.0,115324,56699.0,57167,66000,JNTUH
MHVR,"MAHAVEER INSTITUTE OF SCI
AND TECHNOLOGY",BANDLAGUDA,HYD,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND
ENGINEERING (ARTIFICIAL
INTELLIGENCE AND MACHINE
LEARNING)",43608.0,43608,94273.0,94273,94401.0,101025,43608.0,43608,84166.0,100162,90818.0,90818,121140.0,121140,116532.0,121090,114861.0,114861,66000,JNTUH
MHVR,"MAHAVEER INSTITUTE OF SCI
AND TECHNOLOGY",BANDLAGUDA,HYD,COED,PVT,2001,ECE,"ELECTRONICS AND
COMMUNICATION ENGINEERING",86309.0,86309,86309.0,86309,105661.0,105661,86309.0,86309,95026.0,102078,86309.0,113266,119994.0,119994,119879.0,120779,100886.0,100886,66000,JNTUH
MHVR,"MAHAVEER INSTITUTE OF SCI
AND TECHNOLOGY",BANDLAGUDA,HYD,COED,PVT,2001,EEE,"ELECTRICAL AND ELECTRONICS
ENGINEERING",55055.0,70936,55055.0,83669,61572.0,70936,55055.0,70936,113039.0,113039,55055.0,70936,117257.0,117257,55055.0,70936,55055.0,70936,66000,JNTUH
MHVR,"MAHAVEER INSTITUTE OF SCI
AND TECHNOLOGY",BANDLAGUDA,HYD,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,119559.0,119559,119559.0,119559,119559.0,119559,119559.0,119559,119559.0,119559,119559.0,119559,119559.0,119559,119559.0,119559,119559.0,119559,66000,JNTUH
